code,label,labelNative,airtableId,created,updated,synced
tt ,Tatar,"татар теле, tatar tele ",rec3s0qqR9V47uxrE,2023-02-16 15:33:33,,
tw ,Twi,Twi,recOlmjxPj4mutxa1,2023-02-16 15:33:33,,
ty ,Tahitian,Reo Tahiti,rec4ffN7q9cbExBNi,2023-02-16 15:33:33,,
ug ,"Uyghur, Uighur","Uyƣurqə, ئۇيغۇرچە‎ ",recvlVupFz3b2bkLP,2023-02-16 15:33:33,,
uk ,Ukrainian,українська мова,rec5Euw4Nf2dB0uke,2023-02-16 15:33:33,,
ur ,Urdu,اردو,rechkhTzaBenEq0AV,2023-02-24 10:28:26,2023-02-24 10:28:26,
uz ,Uzbek,"O‘zbek, Ўзбек, أۇزبېك‎ ",recduLNIc3NPWOFiL,2023-02-16 15:33:33,,
ve ,Venda,Tshivenḓa,recxdRR86dNffI4QD,2023-02-16 15:33:33,,
vi ,Vietnamese,Tiếng Việt,recwJesjrQekCOZpx,2023-02-16 15:33:33,,
vo ,Volapük,Volapük,rec3t94ULgEBc4fnV,2023-02-16 15:33:33,,
wa ,Walloon,walon,recXmMo0mzslYjfVc,2023-02-16 15:33:33,,
wo ,Wolof,Wollof,recVqdHt023AZ3qsw,2023-02-16 15:33:33,,
xh ,Xhosa,isiXhosa,recLlP1qb3lDJA0hF,2023-02-16 15:33:33,,
yi ,Yiddish,ייִדיש,recVs4OYwCndTenRr,2023-02-16 15:33:33,,
yo ,Yoruba,Yorùbá,recYHAhdcbVOJIotq,2023-02-16 15:33:33,,
za ,"Zhuang, Chuang","Saɯ cueŋƅ, Saw cuengh ",recBbUUboNQlinFeA,2023-02-16 15:33:33,,
zh ,Chinese,"中文 (Zhōngwén), 汉语, 漢語 ",rec59LIGlWrblPFCu,2023-02-27 08:39:15,2023-02-27 08:39:16,
zu ,Zulu,isiZulu,recFHjAUSLkMuCNJg,2023-02-16 15:33:33,,
